No,Images,MIR,MIG,MIB,VHR,VHG,VHB,SER,SEG,SEB
1,01_Airplane_en.bmp,127.51,127.36,127.43,270.67,245.71,299.09,7.999255,7.999326,7.999176
2,02_Baboon_en.bmp,127.71,127.74,127.57,273.10,195.76,248.13,7.999246,7.999461,7.999315
3,03_Lena_en.bmp,127.47,127.17,127.45,293.09,237.99,227.31,7.999194,7.999346,7.999374
4,04_Peppers_en.bmp,127.47,127.69,127.55,274.00,266.29,213.37,7.999242,7.999267,7.999410
5,05_Sailboat_en.bmp,127.43,127.55,127.79,282.13,260.73,247.07,7.999221,7.999281,7.999318
6,06_Splash_en.bmp,127.65,127.49,127.47,262.23,292.26,261.83,7.999275,7.999193,7.999277
